Date,Open,High,Low,Close,Adj Close,Volume
4/17/2020,122.449997,124.989998,120.540001,124.690002,112.914146,15899800
4/20/2020,121.470001,123.230003,120.540001,120.599998,109.210403,10832000
4/21/2020,119.5,120.300003,118.43,119.68,108.377304,9465400
4/22/2020,119.989998,120.279999,118.779999,119.400002,108.123734,10259400
4/23/2020,118.650002,119.669998,118.050003,119.400002,108.844803,17277000
4/24/2020,119.099998,119.760002,118.620003,118.779999,108.279602,12751100
4/27/2020,119.190002,119.190002,116.900002,117.449997,107.067192,10635700
4/28/2020,117.099998,117.910004,116.169998,116.889999,106.556679,9958000
4/29/2020,117.519997,118.050003,115.080002,117.080002,106.729919,8707900
4/30/2020,115.919998,118.279999,115.660004,117.870003,107.450066,10026400
5/1/2020,117.599998,118.370003,116.32,116.82,106.492889,7366400
5/4/2020,117.089996,117.199997,115,115.769997,105.535706,5636000
5/5/2020,115.800003,117.260002,115.209999,116.010002,105.754501,5425200
5/6/2020,115.540001,116.139999,112.889999,113.099998,103.101746,7892200
5/7/2020,114.059998,114.139999,111.82,112.169998,102.25396,8762800
5/8/2020,113.519997,116.300003,113.389999,115.949997,105.699814,9279900
5/11/2020,115.75,116.010002,114.919998,115.309998,105.116379,6947500
5/12/2020,115.199997,115.900002,114.139999,114.550003,104.423553,6734400
5/13/2020,114.279999,115.349998,113.730003,113.919998,103.849258,9312600
5/14/2020,113.540001,114.449997,111.25,113.809998,103.748978,9310000
5/15/2020,113.93,114.790001,112.050003,114.610001,104.478249,10694800
5/18/2020,116.029999,116.989998,114.709999,116.209999,105.936806,10020800
5/19/2020,115.089996,115.639999,112.339996,112.440002,102.500092,8047600
5/20/2020,113,113.769997,112.129997,113.279999,103.265831,6593800
5/21/2020,112.800003,113.199997,111.43,111.620003,101.752586,6552700
5/22/2020,112.290001,113.599998,111.760002,112.599998,102.645943,5571900
5/26/2020,114.150002,114.150002,111.68,112.029999,102.12635,10432400
5/27/2020,112.5,113.970001,111.82,113.889999,103.821922,8279700
5/28/2020,115.529999,116.989998,114.900002,116.059998,105.800087,6586700
5/29/2020,116.129997,116.720001,114.620003,115.919998,105.672462,7868000
6/1/2020,116,117.5,115.260002,117.25,106.88488,5105600
6/2/2020,117.07,118.139999,116.82,118.059998,107.623268,6327900
6/3/2020,118.099998,119.190002,117.949997,118.529999,108.05172,6171000
6/4/2020,118,118.830002,115.57,116.050003,105.79097,6895800
6/5/2020,116.25,118.830002,116.050003,118.330002,107.8694,7337800
6/8/2020,117.440002,119.120003,116.839996,119.050003,108.525757,6926700
6/9/2020,119.400002,119.760002,118.150002,118.339996,107.878525,5563200
6/10/2020,119,119.889999,118.110001,119.230003,108.689842,6678200
6/11/2020,118.809998,119.57,116,116.260002,105.982399,8937500
6/12/2020,116.589996,118.050003,115.260002,115.620003,105.398979,7998500
6/15/2020,114.550003,117.279999,113.760002,116.690002,106.374382,8786000
6/16/2020,118.529999,118.970001,116.93,118.129997,107.687088,8165200
6/17/2020,118.389999,119.110001,117.440002,117.93,107.504761,6320800
6/18/2020,117.459999,119.959999,117.370003,119.279999,108.73542,6274400
6/19/2020,120.489998,121.82,118.830002,118.919998,108.407242,17506200
6/22/2020,118.779999,119.080002,117.339996,117.75,107.340668,5695600
6/23/2020,118.669998,119.190002,117.650002,117.730003,107.322449,5340400
6/24/2020,117.220001,117.959999,116.279999,116.419998,106.12825,6547800
6/25/2020,116.989998,118.029999,116.029999,117.889999,107.468307,5489300
6/26/2020,117.589996,118.470001,115.040001,115.230003,105.043457,23201700
6/29/2020,116.510002,118.050003,116.349998,117.660004,107.258621,6866900
6/30/2020,117.970001,119.989998,117.800003,119.57,108.999786,7818000
7/1/2020,119.650002,120.389999,118.900002,119.980003,109.373543,6501200
7/2/2020,121,122.57,120.529999,120.879997,110.193962,6150900
7/6/2020,121.769997,122.410004,120.879997,121.629997,110.877686,6023300
7/7/2020,121.300003,123.25,120.889999,122.220001,111.415527,6866300
7/8/2020,122.150002,123.239998,122,122.889999,112.026314,6494100
7/9/2020,122.82,123.980003,121.809998,122.480003,111.65255,5341000
7/10/2020,122.57,124.5,122.470001,123.889999,112.937881,6752600
7/13/2020,124,125.589996,123.339996,124.050003,113.08374,7681500
7/14/2020,123.989998,125.660004,123.5,125.089996,114.031792,6272100
7/15/2020,125.980003,126.900002,124.260002,124.5,113.49395,8145000
7/16/2020,125.080002,125.519997,123.910004,124.760002,113.73098,3959300
7/17/2020,125.089996,126.07,124.830002,125.629997,114.524063,4868600
7/20/2020,125.470001,125.839996,124.790001,125.239998,114.168549,4242100
7/21/2020,125.489998,126.639999,124.919998,125.07,114.013565,5162300
7/22/2020,125.5,126.400002,124.209999,126.139999,114.988991,5929200
7/23/2020,126.120003,127.18,125.599998,126.160004,115.732956,6664800
7/24/2020,126.989998,127.769997,125.32,125.959999,115.549477,6014200
7/27/2020,125.709999,126.639999,125.540001,126.32,115.87973,6464600
7/28/2020,126.370003,128.460007,126.290001,127.879997,117.310806,7644400
7/29/2020,127.559998,129.240005,127.360001,128.309998,117.705261,6702000
7/30/2020,130.660004,132.029999,129.649994,131.419998,120.558197,10400700
7/31/2020,130.660004,131.210007,129.270004,131.119995,120.28302,8487000
8/3/2020,130.470001,131.919998,130.470001,131.289993,120.438957,7769400
8/4/2020,130.770004,133.929993,130.699997,133.789993,122.732346,7773700
8/5/2020,133.589996,134.649994,133.119995,133.440002,122.41127,5680000
8/6/2020,132.850006,133.369995,132.119995,132.710007,121.741615,3974100
8/7/2020,132.889999,133.639999,132.449997,133.550003,122.512184,4934900
8/10/2020,133.699997,134.440002,133.190002,134.100006,123.016731,5812700
8/11/2020,134.270004,134.740005,132.789993,133.229996,122.218582,5329900
8/12/2020,133.770004,135.970001,133.699997,135.460007,124.264336,5920400
8/13/2020,135.080002,135.869995,134.929993,135.779999,124.557877,4989500
8/14/2020,135.610001,135.639999,134.550003,135.100006,123.934067,5845200
8/17/2020,134.940002,135.699997,134.660004,135.5,124.301018,5603800
8/18/2020,135.809998,137.520004,135.419998,136.509995,125.227509,8670700
8/19/2020,135.539993,136.320007,135.5,135.770004,124.548698,6827700
8/20/2020,135.240005,136.979996,135.190002,136.850006,125.539436,4352200
8/21/2020,136.600006,138.100006,135.910004,137.440002,126.080681,5706600
8/24/2020,137.490005,138.779999,137.199997,138.509995,127.062248,7420500
8/25/2020,139,139.149994,137.800003,139.059998,127.566788,4718300
8/26/2020,138.570007,139.320007,138.25,138.389999,126.952156,4746200
8/27/2020,138.839996,139.690002,138.179993,138.210007,126.787064,6156100
8/28/2020,138.320007,138.910004,136.949997,138.770004,127.300743,4166300
8/31/2020,138.190002,138.729996,137.820007,138.330002,126.897125,5596800
9/1/2020,137.860001,138.220001,137.070007,138.179993,126.759514,5671800
9/2/2020,138.110001,141.440002,137.610001,140.509995,128.896912,8384800
9/3/2020,140.740005,141.699997,137.089996,138.259995,126.832893,7277900
9/4/2020,137.809998,139.190002,136.119995,137.960007,126.557678,7437700
9/8/2020,138.520004,138.639999,135.039993,135.940002,124.704659,6847500
9/9/2020,136.419998,139.559998,136.270004,138.149994,126.731987,6002900
9/10/2020,138.119995,138.720001,136.509995,136.699997,125.401825,5242500
9/11/2020,137.690002,138.660004,137.160004,138.139999,126.722801,4398000
9/14/2020,138.440002,139.580002,138.330002,138.630005,127.172348,4767400
9/15/2020,138.789993,139.770004,138.389999,138.630005,127.172348,4046500
9/16/2020,139.570007,140.169998,137.600006,137.699997,126.319176,6049900
9/17/2020,137.059998,137.880005,136.190002,137.520004,126.15406,4648500
9/18/2020,136.910004,137.929993,136.259995,137.369995,126.016426,10192800
9/21/2020,137,137.470001,134.699997,136.710007,125.411018,7092600
9/22/2020,136.490005,139.029999,136.240005,137.960007,126.557678,4722800
9/23/2020,138.419998,138.419998,136.089996,136.309998,125.044052,6373700
9/24/2020,136.669998,137.149994,135.710007,136.919998,125.603645,5708200
9/25/2020,135.889999,137.990005,135.889999,137.619995,126.245789,4969900
9/28/2020,138.559998,139.940002,137.779999,138.009995,126.603561,5810800
9/29/2020,138.389999,138.419998,136.660004,137.259995,125.91555,4492100
9/30/2020,138.160004,139.850006,137.809998,138.990005,127.502586,8727800
10/1/2020,139.580002,139.990005,138.210007,139.240005,127.731903,5713400
10/2/2020,137.929993,139.119995,136.949997,138.119995,126.704437,6077900
10/5/2020,138.720001,139.649994,138.300003,139.389999,127.869492,6333900
